"","ID","time","RE.i","RE.s","RE.var","y","ppID","yNorm"
"1",1,0,-0.0336724133463524,0.126535742688582,1.5,1.44641692008833,"1",1.81545201923854
"2",1,1,-0.0336724133463524,0.126535742688582,1.5,-2.28713348882844,"1",1.61457887280921
"3",1,2,-0.0336724133463524,0.126535742688582,1.5,-0.233893438346695,"1",1.72504766099805
"4",1,3,-0.0336724133463524,0.126535742688582,1.5,2.61629941629263,"1",1.87839424640224
"5",1,4,-0.0336724133463524,0.126535742688582,1.5,3.53855562664085,"1",1.92801363987398
"6",1,5,-0.0336724133463524,0.126535742688582,1.5,-1.5296563747135,"1",1.65533279189307
"7",1,6,-0.0336724133463524,0.126535742688582,3.5,-2.30801690543338,"1",1.61345529949637
"8",1,7,-0.0336724133463524,0.126535742688582,3.5,-5.25887401233139,"1",1.45469275799959
"9",1,8,-0.0336724133463524,0.126535742688582,3.5,8.73371320831618,"1",2.20752443665738
"10",1,9,-0.0336724133463524,0.126535742688582,3.5,2.49041613366876,"1",1.87162145153033
"11",1,10,-0.0336724133463524,-0.334193211083087,3.5,-11.9757643538014,"1",1.09330942328166
"12",1,11,-0.0336724133463524,-0.334193211083087,3.5,-2.15949956123574,"1",1.62144585619464
"13",1,12,-0.0336724133463524,-0.334193211083087,3.5,-4.38476705258867,"1",1.50172161688414
"14",1,13,-0.0336724133463524,-0.334193211083087,3.5,-6.0010142254085,"1",1.41476399760667
"15",1,14,-0.0336724133463524,-0.334193211083087,3.5,0.938917125996365,"1",1.78814742460711
"16",1,15,-0.0336724133463524,-0.334193211083087,3.5,-1.03656678136155,"1",1.68186208632863
"17",1,16,-0.0336724133463524,-0.334193211083087,3.5,-6.20326907729424,"1",1.40388224591481
"18",1,17,-0.0336724133463524,-0.334193211083087,3.5,-9.88738512658488,"1",1.2056687757379
"19",1,18,-0.0336724133463524,-0.334193211083087,3.5,-10.0220350560502,"1",1.1984243161657
"20",1,19,-0.0336724133463524,-0.334193211083087,3.5,-5.31704136965744,"1",1.451563227444
"21",1,20,-0.0336724133463524,-0.334193211083087,3.5,-11.1305135623024,"1",1.13878575744465
"22",1,21,-0.0336724133463524,-0.334193211083087,3.5,-2.17258398404807,"1",1.6207418857398
"23",1,22,-0.0336724133463524,-0.334193211083087,3.5,2.87414419301532,"1",1.89226685716623
"24",1,23,-0.0336724133463524,-0.334193211083087,3.5,-13.7100700170604,"1",1
"25",1,24,-0.0336724133463524,-0.334193211083087,3.5,-10.7186508484876,"1",1.160944868789
"26",1,25,-0.0336724133463524,-0.334193211083087,3.5,-8.1208113960367,"1",1.3007142913434
"27",1,26,-0.0336724133463524,-0.334193211083087,3.5,-7.61504371826652,"1",1.32792569434289
"28",1,27,-0.0336724133463524,-0.334193211083087,3.5,-4.33845299824057,"1",1.50421341391428
"29",1,28,-0.0336724133463524,0.301398086575926,3.5,12.3126429548384,"1",2.40007865457191
"30",1,29,-0.0336724133463524,0.301398086575926,3.5,3.0957712785736,"1",1.90419087723671
"31",1,30,-0.0336724133463524,0.301398086575926,3.5,9.72584614935233,"1",2.26090335048325
"32",1,31,-0.0336724133463524,0.301398086575926,3.5,10.4965195777798,"1",2.30236726002844
"33",1,32,-0.0336724133463524,0.301398086575926,3.5,6.75525344560718,"1",2.1010789908774
"34",1,33,-0.0336724133463524,0.301398086575926,3.5,11.1848791258207,"1",2.33940250346841
"35",1,34,-0.0336724133463524,0.301398086575926,3.5,16.8478199007693,"1",2.64408105522711
"36",1,35,-0.0336724133463524,0.301398086575926,3.5,18.9496027146697,"1",2.75716154984985
"37",1,36,-0.0336724133463524,0.301398086575926,3.5,9.3706985582548,"1",2.24179563630851
"38",1,37,-0.0336724133463524,0.301398086575926,3.5,11.1463181249239,"1",2.33732783760583
"39",1,38,-0.0336724133463524,0.301398086575926,3.5,9.54889930711302,"1",2.2513832248499
"40",1,39,-0.0336724133463524,0.301398086575926,3.5,12.684270818912,"1",2.42007304333896
"41",1,40,-0.0336724133463524,0.110408985369069,3.5,4.05057778054606,"1",1.95556154731641
"42",1,41,-0.0336724133463524,0.110408985369069,3.5,15.6945919456486,"1",2.58203487865959
"43",1,42,-0.0336724133463524,0.110408985369069,3.5,4.88988787324009,"1",2.00071825894047
"44",1,43,-0.0336724133463524,0.110408985369069,1,5.08083873025519,"1",2.01099183107984
"45",1,44,-0.0336724133463524,0.110408985369069,1,3.26665840511233,"1",1.91338497696284
"46",1,45,-0.0336724133463524,0.110408985369069,1,3.74424717399805,"1",1.93908029326987
"47",1,46,-0.0336724133463524,0.110408985369069,1,5.36350700632853,"1",2.02620000019281
"48",1,47,-0.0336724133463524,0.110408985369069,1,4.68836897134011,"1",1.98987610296128
"49",1,48,-0.0336724133463524,0.110408985369069,1,6.91676518237884,"1",2.10976867420753
"50",1,49,-0.0336724133463524,0.110408985369069,1,4.43592707127952,"1",1.97629417873316
"51",1,50,-0.0336724133463524,0.110408985369069,1,6.29009631419195,"1",2.07605252375156
"52",2,0,2.0822360633849,1.38865850848989,1.5,3.19137464885979,"2",1.90933454685284
"53",2,1,2.0822360633849,1.38865850848989,1.5,4.08808916665778,"2",1.95757974161672
"54",2,2,2.0822360633849,1.38865850848989,1.5,5.15051241571596,"2",2.01474042715836
"55",2,3,2.0822360633849,1.38865850848989,1.5,5.40715098866015,"2",2.02854814153107
"56",2,4,2.0822360633849,1.38865850848989,1.5,5.43905249827912,"2",2.03026451225362
"57",2,5,2.0822360633849,1.38865850848989,1.5,7.6282917210302,"2",2.14805035221716
"58",2,6,2.0822360633849,1.38865850848989,3.5,11.8364487815988,"2",2.37445837054909
"59",2,7,2.0822360633849,1.38865850848989,3.5,13.876989766178,"2",2.48424392132443
"60",2,8,2.0822360633849,1.38865850848989,3.5,12.8743708679267,"2",2.43030084015423
"61",2,9,2.0822360633849,1.38865850848989,3.5,19.4595200453923,"2",2.78459621321919
